# timestamp tx ty tz qx qy qz qw
1783055701.700073 8.517835 3.809589 0.746899 -0.145455 0.089616 0.876686 0.449704
1783055701.800393 8.595946 3.857902 0.760877 -0.148055 0.083364 0.882121 0.439310
1783055701.900233 8.614625 3.865864 0.766565 -0.152528 0.079153 0.887415 0.427743
1783055702.000073 8.619099 3.865348 0.767888 -0.156836 0.078679 0.891490 0.417682
1783055702.100407 8.621712 3.861841 0.769791 -0.156570 0.076663 0.895820 0.408797
1783055702.200247 8.620826 3.857541 0.770794 -0.158736 0.073092 0.899007 0.401556
1783055702.300087 8.620763 3.852375 0.770745 -0.159735 0.069231 0.900666 0.398112
1783055702.400407 8.620278 3.848114 0.771101 -0.159809 0.067478 0.902502 0.394204
1783055702.500247 8.618941 3.843627 0.770683 -0.160269 0.067396 0.904317 0.389849
1783055702.600087 8.619763 3.840813 0.771195 -0.160423 0.069940 0.906622 0.383938
1783055702.700407 8.618886 3.837745 0.770244 -0.161426 0.072468 0.906406 0.383559
1783055702.800247 8.617082 3.833589 0.770011 -0.161782 0.072751 0.906265 0.383689
1783055702.900087 8.615737 3.830489 0.769404 -0.162159 0.074184 0.904680 0.386982
1783055703.000407 8.612461 3.827328 0.769216 -0.163120 0.073177 0.903716 0.389018
1783055703.100260 8.611037 3.825264 0.770433 -0.160811 0.074988 0.903198 0.390833
1783055703.200100 8.609615 3.822963 0.771672 -0.157403 0.076205 0.903315 0.391712
1783055703.300420 8.607050 3.820902 0.772362 -0.157145 0.075030 0.902545 0.393813
1783055703.400260 8.604343 3.819145 0.771955 -0.157171 0.074082 0.902452 0.394195
1783055703.500100 8.601365 3.818583 0.772791 -0.157272 0.073500 0.902396 0.394391
1783055703.600420 8.598975 3.818372 0.772578 -0.157573 0.073252 0.902410 0.394284
1783055703.700260 8.597245 3.818691 0.773339 -0.156769 0.072436 0.902878 0.393684
1783055703.800100 8.594980 3.819008 0.773992 -0.156472 0.073020 0.903955 0.391216
1783055703.900420 8.592577 3.818451 0.774540 -0.154354 0.071227 0.906666 0.386081
1783055704.000260 8.591997 3.818660 0.774518 -0.154927 0.071793 0.910405 0.376837
1783055704.100113 8.589739 3.819390 0.773280 -0.160544 0.070786 0.911374 0.372306
1783055704.200433 8.588037 3.820713 0.771691 -0.163347 0.070674 0.912443 0.368470
1783055704.300273 8.588010 3.821312 0.771719 -0.164133 0.069767 0.913684 0.365206
1783055704.400113 8.588214 3.822168 0.772101 -0.165014 0.069600 0.914728 0.362213
1783055704.500433 8.589081 3.824698 0.772498 -0.164911 0.069743 0.915230 0.360962
1783055704.600273 8.589360 3.825453 0.772062 -0.163131 0.069552 0.915141 0.362033
1783055704.700113 8.591136 3.827277 0.772512 -0.161947 0.069421 0.915329 0.362115
1783055704.800433 8.592110 3.828700 0.772248 -0.162798 0.068975 0.915254 0.362007
1783055704.900273 8.592993 3.830224 0.772148 -0.163410 0.069352 0.915246 0.361679
1783055705.000113 8.594745 3.831763 0.771529 -0.163162 0.068648 0.915580 0.361081
1783055705.100446 8.597432 3.830911 0.771408 -0.161682 0.068798 0.915913 0.360873
1783055705.200286 8.598733 3.832016 0.771904 -0.162311 0.068670 0.915792 0.360922
1783055705.300126 8.601610 3.833083 0.771023 -0.161503 0.069973 0.915452 0.361895
1783055705.400446 8.604862 3.833990 0.772119 -0.160113 0.071722 0.914119 0.365522
1783055705.500286 8.610006 3.834771 0.772142 -0.156252 0.074109 0.911895 0.372211
1783055705.600126 8.613665 3.835809 0.772010 -0.153441 0.076724 0.908481 0.381092
1783055705.700446 8.618401 3.836725 0.772433 -0.151646 0.078862 0.904016 0.391842
1783055705.800286 8.622898 3.837106 0.773253 -0.149554 0.081132 0.899516 0.402396
1783055705.900126 8.628571 3.837307 0.775285 -0.146989 0.083171 0.894791 0.413310
1783055706.000446 8.633882 3.836776 0.776621 -0.144781 0.084205 0.889754 0.424601
1783055706.100299 8.640278 3.837187 0.776996 -0.143091 0.084590 0.884399 0.436128
1783055706.200139 8.646839 3.837086 0.777731 -0.140740 0.085797 0.879306 0.446824
1783055706.300459 8.653539 3.837276 0.779220 -0.138676 0.087661 0.874498 0.456441
1783055706.400299 8.661568 3.837635 0.781719 -0.136808 0.089300 0.868863 0.467318
1783055706.500139 8.667633 3.838554 0.782812 -0.135832 0.090831 0.862808 0.478395
1783055706.600459 8.675151 3.838387 0.783449 -0.132842 0.093419 0.857295 0.488540
1783055706.700299 8.682275 3.839416 0.784442 -0.130325 0.095672 0.851673 0.498514
1783055706.800139 8.688812 3.839690 0.785785 -0.128137 0.096158 0.845775 0.508920
1783055706.900459 8.695232 3.840210 0.786932 -0.126277 0.096387 0.839881 0.519003
1783055707.000299 8.700647 3.841315 0.788052 -0.122684 0.098224 0.834699 0.527805
1783055707.100152 8.707013 3.841999 0.787990 -0.120228 0.098681 0.829080 0.537060
1783055707.200472 8.711635 3.843131 0.786771 -0.118625 0.098537 0.823468 0.546003
1783055707.300312 8.716256 3.844480 0.784952 -0.118918 0.098900 0.817844 0.554264
1783055707.400152 8.718833 3.845204 0.785104 -0.117482 0.099797 0.813203 0.561195
1783055707.500472 8.722191 3.846802 0.785409 -0.115703 0.099367 0.808446 0.568466
1783055707.600312 8.726457 3.847383 0.784383 -0.113881 0.100208 0.803902 0.575092
1783055707.700152 8.728827 3.847514 0.783487 -0.111300 0.100087 0.799767 0.581350
1783055707.800472 8.730559 3.847615 0.782635 -0.110406 0.100004 0.795517 0.587335
1783055707.900312 8.732479 3.847582 0.782986 -0.109310 0.100936 0.792018 0.592091
1783055708.000152 8.734547 3.846263 0.782222 -0.108163 0.102627 0.788248 0.597021
1783055708.100485 8.734828 3.844908 0.783679 -0.106757 0.102550 0.784945 0.601621
1783055708.200325 8.735544 3.843072 0.784772 -0.105607 0.102497 0.781467 0.606342
1783055708.300165 8.737261 3.840668 0.785910 -0.104274 0.103512 0.777747 0.611164
1783055708.400485 8.737653 3.837491 0.787363 -0.102050 0.104417 0.775073 0.614772
1783055708.500325 8.738103 3.835183 0.788627 -0.101430 0.104787 0.772554 0.617974
1783055708.600165 8.738056 3.832649 0.790258 -0.100097 0.105269 0.771319 0.619650
1783055708.700485 8.737986 3.829580 0.790809 -0.098310 0.105329 0.771188 0.620088
1783055708.800325 8.736570 3.826467 0.792472 -0.094818 0.104082 0.771894 0.619964
1783055708.900165 8.736566 3.824559 0.793821 -0.091809 0.102225 0.772919 0.619450
1783055709.000485 8.735577 3.822724 0.795369 -0.089300 0.099679 0.773643 0.619327
1783055709.100338 8.735620 3.821970 0.795636 -0.087421 0.097350 0.773884 0.619664
